Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Gustav Moselland Riesling Trocken KPN vein 12% 750 ml;750.0;12.0;90.0;14.754;Hinnapomm;6.1;2025-11-05 15:07:00;https://ostukorvid.ee/tooted/2be8fbc5-ae23-40ef-b5ed-1d05223bae90/gustav-moselland-riesling-trocken-kpn-vein-12percent-750-ml
Punane vein Domini Douro 2018 13,5% 0,75 L;750.0;13.5;101.25;14.485;Sumena;6.99;2025-11-12 07:19:00;https://ostukorvid.ee/tooted/a4d5b58d-0367-4de4-8b29-2788eee42f78/punane-vein-domini-douro-2018-135percent-075-l
Kuiv punane vein Les Mougeottes Grande Reserve 13,5% 0,75l;750.0;13.5;101.25;14.485;Rimi;6.99;2025-11-12 08:25:00;https://ostukorvid.ee/tooted/f9676e20-a877-4171-8059-464391274bef/kuiv-punane-vein-les-mougeottes-grande-reserve-135percent-075l
Kaitstud päritolunimetusega vein Piteira Alentejo Branco 13,5%vol 0,75l;750.0;13.5;101.25;14.485;Rimi;6.99;2025-11-12 09:26:00;https://ostukorvid.ee/tooted/9164be3c-2772-4565-9e37-5cc827378a01/kaitstud-paritolunimetusega-vein-piteira-alentejo-branco-135percentvol-075l
Bostavan Pastoral Red Liqueur Wine liköörvein 16%vol 750ml;750.0;16.0;120.0;14.475;Prisma;8.29;2025-04-16 15:20:00;https://ostukorvid.ee/tooted/98d6e431-d981-4de8-88ce-c0994fdf90cf/bostavan-pastoral-red-liqueur-wine-likoorvein-16percentvol-750ml
Valge vein Grüner Veltliner Seewinkel BIB 12,5% 3L;3000.0;12.5;375.0;14.468;Selver;25.92;2025-11-12 03:23:00;https://ostukorvid.ee/tooted/cbfee95c-81f9-404b-8e3c-832484bd54f4/valge-vein-gruner-veltliner-seewinkel-bib-125percent-3l
Maori Bay Shiraz Rose GT vein 12,5%vol 750ml;750.0;12.5;93.75;14.445;Prisma;6.49;2025-04-16 15:16:00;https://ostukorvid.ee/tooted/9eba62d7-cff9-495b-8401-8e3c0a36c9ba/maori-bay-shiraz-rose-gt-vein-125percentvol-750ml
Vein Jean Loron Cinsault Rose 12,5% 0,75 L;750.0;12.5;93.75;14.445;Sumena;6.49;2025-11-12 07:18:00;https://ostukorvid.ee/tooted/90c7b5c5-450c-4e13-a403-ac4454198429/vein-jean-loron-cinsault-rose-125percent-075-l
Kaitstud päritolunimetusega vein St.Gabriel Gewürztraminer 10%vol 0,75l;750.0;10.0;75.0;14.178;Rimi;5.29;2025-11-12 09:07:00;https://ostukorvid.ee/tooted/0c83f59c-19f5-4523-bcf4-228bf516d479/kaitstud-paritolunimetusega-vein-stgabriel-gewurztraminer-10percentvol-075l
Kaitstud geograafilise tähisega vein Detective Grenache Noir 15%vol 0,75l;750.0;15.0;112.5;14.08;Rimi;7.99;2025-11-12 09:08:00;https://ostukorvid.ee/tooted/766aee77-92df-4881-adff-ed0fe57815b4/kaitstud-geograafilise-tahisega-vein-detective-grenache-noir-15percentvol-075l
Kaitstud päritolunimetusega vein Peter Mertes Trad. Liebfraumilch 9,5%vol 3l;3000.0;9.5;285.0;14.046;Rimi;20.29;2025-11-12 08:20:00;https://ostukorvid.ee/tooted/602e59f8-907b-4f2c-8aa3-7cd9955b6328/kaitstud-paritolunimetusega-vein-peter-mertes-trad-liebfraumilch-95percentvol-3l
Hardys Nottage Hill Cabernet Sauvignon Shiraz GT vein 14%vol 1,5 l;1500.0;14.0;210.0;14.009;Prisma;14.99;2025-04-16 15:17:00;https://ostukorvid.ee/tooted/0db5717c-3af5-4a7c-a168-c169e3a593b0/hardys-nottage-hill-cabernet-sauvignon-shiraz-gt-vein-14percentvol-15-l
Vein LUCIENTE Semi Sw.Blan.'18 11% 750ml;750.0;11.0;82.5;14.007;Maxima;5.89;2025-11-12 06:11:00;https://ostukorvid.ee/tooted/de466397-e6d2-4bd2-a4f6-95e0ea2cff82/vein-luciente-semi-swblan18-11percent-750ml
Vein Mywine Chardonnay 12%vol 0,25l;250.0;12.0;30.0;13.953;Rimi;2.15;2025-11-12 08:11:00;https://ostukorvid.ee/tooted/25b52154-733a-436e-b8a9-9f07ac70829b/vein-mywine-chardonnay-12percentvol-025l
